publisher,year,market_share_pct
Activision,1994,2.134208906217935
Activision,1995,3.861676756558429
Activision,1996,0.8881803689364609
Activision,1997,1.2698269239459532
Activision,1998,3.285209697884159
Activision,1999,3.647669722418104
Activision,2000,6.167161433290128
Activision,2001,5.210201793721973
Activision,2002,6.162636947487719
Activision,2003,5.29049491726646
Activision,2004,8.859732179088324
Activision,2005,7.631057679107263
Activision,2006,3.6003163533091325
Activision,2007,10.379112688826392
Activision,2008,9.133480034349503
Activision,2009,11.319761076541436
Activision,2010,10.773725754145511
Activision,2011,9.101975514746806
Activision,2012,13.56966780138515
Activision,2013,11.23550975923907
Activision,2014,12.001075124311257
Activision,2015,12.52648029171732
Activision,2016,11.094008323356704
Activision,2017,16.855981659024586
Activision,2018,13.104893214382258
Activision Blizzard,2014,0.12901491734981863
Activision Value,2001,0.058856502242152456
Activision Value,2002,0.021250472232716276
Activision Value,2003,0.2399149167717842
Activision Value,2004,0.013526308670363855
Activision Value,2005,0.009806036596128581
Activision Value,2006,0.044936549591976176
Activision Value,2007,0.08913066863368829
Activision Value,2008,0.19589952769428942
Activision Value,2009,0.4559502196599087
Acttil,2016,0.02850464625733994
Adeline Software,1996,0.07743110908676838
Aerosoft,2010,0.0015297069081563978
Aerosoft,2013,0.004953928465272959
Aerosoft,2017,0.052105043768236756
Agatsuma Entertainment,2004,0.018035078227151807
Agatsuma Entertainment,2010,0.0015297069081563978
Agatsuma Entertainment,2012,0.046953867824862106
Agatsuma Entertainment,2013,0.007430892697909438
Agetec,1997,0.013556871074156082
Agetec,1998,0.065155515928809
Agetec,1999,0.1859093531636644
Agetec,2000,0.576995442572229
Agetec,2001,0.3475336322869955
Agetec,2002,0.3494522100491122
Agetec,2003,0.19786797259528593
Agetec,2005,0.052952597619094335
Agetec,2006,0.032354315706222846
Agetec,2007,0.02766124198976533
Agetec,2008,0.006708887934735937
Agetec,2009,0.0776085480272185
Aksys Games,2008,0.01610133104336625
Aksys Games,2009,0.05404881023324145
Aksys Games,2010,0.16061922535642176
Aksys Games,2011,0.1026015581524764
Aksys Games,2012,0.11503697617091216
