publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
AIA,2004,0.05,1,0.05,1,1,443.5800000000001,0.01127192389196988,84
AQ Interactive,2007,0.16,1,0.16,1,1,650.7300000000002,0.02458777065756918,85
AQ Interactive,2008,0.22,1,0.22,1,1,745.2800000000001,0.029519106912838124,93
AQ Interactive,2009,0.15,3,0.05,3,2,721.5699999999994,0.020788003935862095,106
ASC Games,1996,1.31,1,1.31,1,1,219.55000000000004,0.5966750170803916,20
ASC Games,1998,0.66,1,0.66,1,1,291.6100000000001,0.22632968691059968,36
ASC Games,1999,0.05,1,0.05,1,1,311.97999999999996,0.01602666837617796,80
ASCII Entertainment,1994,0.87,1,0.87,1,1,97.46000000000002,0.8926739175046171,19
ASCII Entertainment,1995,1.25,2,0.625,1,2,109.02000000000002,1.1465786094294623,18
ASCII Entertainment,1996,2.8700000000000006,5,0.5740000000000001,2,5,219.55000000000004,1.3072193122295606,13
ASCII Entertainment,1997,3.8499999999999996,7,0.55,3,5,221.29000000000005,1.739798454516697,15
ASCII Entertainment,1998,0.8,5,0.16,3,5,291.6100000000001,0.2743390144370905,33
ASCII Entertainment,1999,1.9000000000000001,4,0.475,2,2,311.97999999999996,0.6090133982947625,27
ASCII Entertainment,2001,0.32,1,0.32,1,1,356.80000000000007,0.0896860986547085,58
ASCII Media Works,2008,0.06,2,0.03,2,1,745.2800000000001,0.008050665521683124,136
ASCII Media Works,2009,0.08,3,0.02666666666666667,1,2,721.5699999999994,0.011086935432459784,132
ASCII Media Works,2010,0.12000000000000001,3,0.04,1,1,653.7199999999998,0.018356482897876777,105
ASCII Media Works,2011,0.01,1,0.01,1,1,575.0399999999997,0.0017390094602114643,142
ASCII Media Works,2014,0.01,1,0.01,1,1,372.04999999999984,0.002687810778121221,81
ASK,1996,0.03,1,0.03,1,1,219.55000000000004,0.013664313368253243,83
Abel,2009,0.01,1,0.01,1,1,721.5699999999994,0.001385866929057473,178
Abylight,2010,0.08,1,0.08,1,1,653.7199999999998,0.012237655265251182,117
Acclaim Entertainment,1993,1.93,1,1.93,1,1,57.01999999999999,3.3847772711329362,8
Acclaim Entertainment,1994,10.09,10,1.0090000000000001,5,3,97.46000000000002,10.352965319105271,2
Acclaim Entertainment,1995,4.3,17,0.2529411764705882,4,5,109.02000000000002,3.94423041643735,5
Acclaim Entertainment,1996,4.13,21,0.19666666666666668,2,7,219.55000000000004,1.8811204736961964,10
Acclaim Entertainment,1997,5.099999999999999,12,0.42499999999999993,2,8,221.29000000000005,2.3046680826065336,11
Acclaim Entertainment,1998,14.079999999999998,25,0.5632,2,7,291.6100000000001,4.828366654092792,5
Acclaim Entertainment,1999,7.79,20,0.3895,2,7,311.97999999999996,2.4969549330085266,8
Acclaim Entertainment,2000,6.470000000000001,18,0.35944444444444446,4,6,239.17,2.705188777856755,11
Acclaim Entertainment,2001,9.920000000000005,26,0.38153846153846155,5,4,356.80000000000007,2.780269058295965,9
Acclaim Entertainment,2002,7.76,34,0.22823529411764706,4,7,423.5200000000001,1.8322629391764258,17
Acclaim Entertainment,2003,4.659999999999999,28,0.16642857142857143,4,5,404.3099999999997,1.1525809403675404,18
Acclaim Entertainment,2004,1.6,10,0.16,3,5,443.5800000000001,0.36070156454303615,29
Accolade,1996,0.19,1,0.19,1,1,219.55000000000004,0.08654065133227054,61
Accolade,1997,1.34,2,0.67,1,2,221.29000000000005,0.605540241312305,32
Accolade,1998,1.3,1,1.3,1,1,291.6100000000001,0.4458008984602721,25
Accolade,1999,0.19,1,0.19,1,1,311.97999999999996,0.06090133982947626,65
Accolade,2017,0.05,1,0.05,1,1,191.92000000000004,0.026052521884118378,80
Ackkstudios,2009,0.07,1,0.07,1,1,721.5699999999994,0.009701068503402313,135
Ackkstudios,2010,0.11,1,0.11,1,1,653.7199999999998,0.016826775989720374,108
Ackkstudios,2011,0.41000000000000003,2,0.20500000000000002,2,1,575.0399999999997,0.07129938786867004,67
Ackkstudios,2012,0.25,6,0.04166666666666667,3,4,425.9499999999997,0.05869233478107763,48
Acquire,2006,0.05,1,0.05,1,1,556.3399999999995,0.008987309918395234,92
Acquire,2008,0.14,1,0.14,1,1,745.2800000000001,0.018784886217260627,104
Acquire,2009,0.09999999999999999,3,0.03333333333333333,2,2,721.5699999999994,0.013858669290574731,120
Acquire,2010,0.22,3,0.07333333333333333,2,1,653.7199999999998,0.03365355197944075,84
Acquire,2011,0.30000000000000004,4,0.07500000000000001,3,3,575.0399999999997,0.052170283806343934,80
Acquire,2012,0.26,3,0.08666666666666667,1,2,425.9499999999997,0.06104002817232074,47
Acquire,2014,0.11,1,0.11,1,1,372.04999999999984,0.029565918559333437,56
Acquire,2015,0.01,1,0.01,1,1,287.9499999999999,0.0034728251432540385,98
Acquire,2017,0.01,1,0.01,1,1,191.92000000000004,0.005210504376823675,104
Activision,1980,3.5300000000000002,6,0.5883333333333334,1,4,12.360000000000001,28.559870550161808,2
Activision,1981,10.48,9,1.1644444444444444,1,5,43.11000000000001,24.30990489445604,2
Activision,1982,5.470000000000001,8,0.6837500000000001,1,4,56.570000000000014,9.669436096871133,2
Activision,1983,4.170000000000001,7,0.5957142857142858,1,4,37.529999999999994,11.111111111111114,3
Activision,1984,0.27,1,0.27,1,1,54.25000000000001,0.49769585253456217,6
Activision,1985,0.48,2,0.24,2,2,54.760000000000005,0.8765522279035791,5
Activision,1986,0.03,1,0.03,1,1,40.64,0.07381889763779527,8
Activision,1987,1.12,2,0.56,1,1,24.360000000000003,4.597701149425287,6
Activision,1988,1.22,3,0.4066666666666667,1,2,53.43000000000001,2.2833614074489983,6
Activision,1989,0.71,2,0.355,1,1,76.77000000000001,0.9248404324605964,9
Activision,1994,2.08,1,2.08,1,1,97.46000000000002,2.134208906217935,12
Activision,1995,4.21,1,4.21,1,1,109.02000000000002,3.861676756558429,6
