appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
4074840,Jaleco Arcade Collection Vol.1,GRAVITY,GRAVITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|1773|3859|7368|3841|1685|5379|3871|3964|7743|6691|4004|7481|4182,NA,NA,TRUE,FALSE,FALSE
4074850,Jaleco Arcade Collection Vol.2,GRAVITY,GRAVITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|1773|3859|7368|3841|1685|5379|3964|3871|7743|6691|4004|7481|4182,NA,NA,TRUE,FALSE,FALSE
4078430,STAR WARS: Galactic Racer™,Fuse Games,Secret Mode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|9|18,699|21|4711|4166|7481|701|17770|3942|4102|11104|5363|7622|3859|4145|3878|19|4182|1775|1644|6426,NA,NA,TRUE,FALSE,FALSE
4083530,"Faster, Hungry Shark! Kill! Kill!",GOOFEES,GOOFEES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23|9,597|699|7481|4182|1698|8666|4191|4195|1719|4136|492|5154,NA,NA,FALSE,FALSE,FALSE
4095860,Pengo & Koda,Marcos Riffel,Riffel Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|4|23,21|1625|492|597|5608|5350|9803|5711|4182|1664|5379|5537|3871|4562|4726|4094|3964,NA,NA,FALSE,FALSE,FALSE
4097160,Bullet Horizon VR: Covert Ops,Gameward,Gameward,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23|3,19|122|492|7423|1687|4064|3993|4182|4231|1774|3834|1663|4191|3839|21978|4168,NA,NA,TRUE,FALSE,FALSE
4097860,Imagine Wind,CHUCHI,CHUCHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|4|23|28,21|4166|3810|8945|1662|1643|7332|597|31275|4252|4094|3959|3834|5716|3839|1695|1716|30358|4236|599,NA,NA,TRUE,TRUE,TRUE
4098630,Suika Evolution: Shake & Merge,Vutune,Vutune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23,597|1773|4094|3968|1719|1643|3920|6129|4136|30358|5673|4878|1664|379975|4726|3871|4305|4195|6815|4252,NA,NA,TRUE,FALSE,FALSE
4099880,Alterfauna: A Weirdlife Park,Tombapik Games,Tombapik Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,597|916648|5652|4305|5608|492|4057|1654|1684|4182|30358|4726|552282|97376|3834|22602|809|6815,NA,NA,FALSE,FALSE,FALSE
4102070,Cartel State,Greyline Interactive,Greyline Interactive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|1663|4345|4667|6730|3859|4182|3878|1774|3839|4175|1708|4168|1775|5711|4747|5765,NA,NA,TRUE,FALSE,FALSE
4103780,Battle Stones,Radiant Sloth,Radiant Sloth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23|2,1091588|1741|1770|17389|3871|32322|5125|492|14139|4711|4295|4182|791774|9|1716|3942|597|3964|3959|4026,NA,NA,TRUE,FALSE,TRUE
4109350,Shadow Mantis,Stuart Barker,Stuart Barker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19|4637|1774|4106|3871|1687|1708|3993|4182,NA,NA,FALSE,FALSE,FALSE
4113790,Floral Flowlove,SAGA PLANETS,NekoNyan Ltd.|HIKARI FIELD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|4,3799|4947|4085|4305|1719|4726|4136|4182|597|1742|3871|6426|21|1654|6971|5608,NA,NA,TRUE,FALSE,FALSE
4114320,Bonkers Bum,RemoveChild,RemoveChild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|23,21|19|6971|1742|6691|7743|1651|6276|1673|3916|3835|1695|1774|3798|4182|1751|6052|6815|1714|5923,NA,NA,TRUE,FALSE,TRUE
4117910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
4130860,The Grand Slamboree,Alex Jackson,Alex Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23,1743|4736|1775|4136|1773|5379|3871|1625|3955|1710|4195|3993|3859|3964|7178|492|19|4840|7368|7481,NA,NA,TRUE,FALSE,FALSE
4135810,Monster Lily,Kasha Club,Kasha Club,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|23|3|2,454187|198631|4026|1677|9|4791|4947|14139|4252|3871|122|21|1716|1720|4004|4325|5125|31275|1759|5923,NA,NA,TRUE,FALSE,TRUE
4161110,Landmark Battle,Poetic Games,VS MEDIA LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23|70,4885|1718|4195|492|493|4726|4136|1654|1719|1775|3859|8666|3813|1723|9|1666|4791|4562,NA,NA,TRUE,FALSE,FALSE
4162090,DragonFire: Defense,DodoModo,RealifyGames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23|2|70,9|1645|4172|4057|1773|615955|3798|379975|3964|4305|4252|1678|597|6730|3871|4046|1684|492|493|4236,NA,NA,FALSE,FALSE,FALSE
4164770,Silent Cold: The Lost Expedition,Game For You,Game For You,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|4|23|9|70,493|7208|6650|4182|19|3993|6506|4342|4231|10808|597|1662|12095|21|1659|3834|3814|1646|1664|1774,NA,NA,TRUE,FALSE,FALSE
4175040,Beyond: Fire & Ice,Raven Illusion Atlanta LLC,Raven Illusion Atlanta LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|3,19|21|1697|1684|4345|4667|6426|3993|7481|7208|1742|4182|122|4231|4106|3834|1646|29482|4191|4175,NA,NA,TRUE,FALSE,FALSE
4179890,Monarchs at Play,MixedMoonGames,MixedMoonGames,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9|1741|4182|4252|1770|12472|5125|3987|4234|1670|4328|1643|4364|3859|1775|3843|1717,NA,NA,TRUE,FALSE,FALSE
4199420,Echo Shift,SnailReaper,Shadefall Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|2|70,1773|3834|4191|3839|9|493|597|4182|6971,NA,NA,TRUE,FALSE,FALSE
4204390,Tarot Spell,kocreate,kocreate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23,1674|19|3993|1662|4182|492|4604|1684|4057|1774|3959|6426|42804|1773|6815|3871|3964|4791,NA,NA,TRUE,FALSE,FALSE
4210370,Guardians Planetfall,VirtualAge,VirtualAge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|28|70,21978|1774|1755|1695|4255|1663|493|3839|4168|4182|4747|3859|19|1708|1678|599|3993|1685|4295|6730,NA,NA,TRUE,FALSE,FALSE
4212260,極书院演义 Saga of the Imperial Academy,X vision无限社,X vision无限社,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25|4|3,122|3799|4085|4136|6971|4598|21|597|4947|4182,NA,NA,TRUE,FALSE,FALSE
4216610,Spellfall: Last Mage Standing,Chain Five Games,Chain Five Games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5547|1775|4747|492|1718|3859|19|4057|176981|1684|4791|4252|3993,NA,NA,TRUE,FALSE,FALSE
4219680,RAM Downloader,Maro Dek,Maro Dek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23|28|2,597|379975|3871|492|8945|5432|5981|5502|6129|4004|3916|599|615955|9|4695|12472|255534|1651|4182,NA,NA,TRUE,FALSE,FALSE
