publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,source_url,year_total_sales,market_share_pct,publisher_rank_in_year
505 Games,2011,3.31,22,0.15045454545454545,6,8,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,575.04,0.5756121313299944,26
505 Games,2012,2.34,8,0.2925,4,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,425.95,0.5493602535508862,21
505 Games,2013,2.31,6,0.385,4,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,403.71999999999997,0.572178737739027,21
505 Games,2014,3.5500000000000003,10,0.355,4,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,372.05,0.9541728262330331,18
505 Games,2015,0.73,5,0.14600000000000002,3,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,287.95,0.2535162354575447,31
505 Games,2016,0.54,7,0.07714285714285714,5,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,175.41,0.3078501795792714,30
505 Games,2017,0.85,14,0.060714285714285714,2,7,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,0.44289287203001254,29
505 Games,2018,1.02,8,0.1275,3,6,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,0.689375506893755,23
5pb,2008,0.14,9,0.015555555555555555,2,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,745.28,0.01878488621726063,104
5pb,2009,0.24,13,0.018461538461538463,3,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.033260806297379326,96
5pb,2010,0.3,11,0.027272727272727275,3,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,653.72,0.045891207244691916,78
5pb,2011,0.35000000000000003,9,0.03888888888888889,3,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,575.04,0.06086533110740123,76
5pb,2012,0.37,12,0.030833333333333334,3,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,425.95,0.08686465547599484,41
5pb,2013,0.19,10,0.019,4,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,403.71999999999997,0.04706232042009314,49
5pb,2014,0.19,13,0.014615384615384615,4,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,372.05,0.05106840478430318,45
5pb,2015,0.43,14,0.030714285714285715,5,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,287.95,0.1493314811599236,43
5pb,2016,0.14,7,0.02,2,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,175.41,0.07981300952055186,48
5pb,2017,0.2,14,0.014285714285714285,2,2,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,0.10421008753647354,53
5pb,2018,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,147.96,0.006758583400919167,111
